ima_id	band	rel_a	rel_b	sd_rela	sd_relb	sd_dn	sunzen	sunaz
rad 1 0
K00213DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00214DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00215DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00216DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00217DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00218DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00219DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00220DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00221DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00222DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00223DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00224DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00225DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00226DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00227DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00228DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00229DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00230DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00231DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00232DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00233DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00234DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00235DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00236DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00237DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00238DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00239DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00240DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00241DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00242DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00243DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00244DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00245DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00246DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00247DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00248DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00249DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00250DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00251DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00252DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00253DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00256DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00257DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00258DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00259DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00260DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
