id	band	time	status	X0	Y0	Z0	omega	phi	kappa
K00175DC	3	 728,978000	adjusted	342482,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00176DC	3	 733,181000	adjusted	342497,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00177DC	3	 737,180000	adjusted	342514,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00178DC	3	 741,378000	adjusted	342530,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00179DC	3	 745,378000	adjusted	342546,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00180DC	3	 749,578000	adjusted	342562,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00181DC	3	 753,581000	adjusted	342577,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00182DC	3	 757,778000	adjusted	342593,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00183DC	3	 761,979000	adjusted	342609,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00184DC	3	 765,979000	adjusted	342625,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00185DC	3	 770,186000	adjusted	342641,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00186DC	3	 774,186000	adjusted	342657,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00187DC	3	 778,380000	adjusted	342673,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00188DC	3	 782,380000	adjusted	342689,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00189DC	3	 786,583000	adjusted	342706,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00190DC	3	 790,577000	adjusted	342722,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00191DC	3	 794,776000	adjusted	342737,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00192DC	3	 798,778000	adjusted	342754,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00193DC	3	 802,979000	adjusted	342770,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00194DC	3	 806,977000	adjusted	342786,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00195DC	3	 811,183000	adjusted	342802,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00196DC	3	 815,181000	adjusted	342819,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00197DC	3	 819,377000	adjusted	342835,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00198DC	3	 823,378000	adjusted	342852,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00199DC	3	 827,578000	adjusted	342868,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00200DC	3	 831,578000	adjusted	342884,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00201DC	3	 835,779000	adjusted	342900,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00202DC	3	 839,779000	adjusted	342917,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00203DC	3	 843,979000	adjusted	342933,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00204DC	3	 847,979000	adjusted	342949,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00205DC	3	 852,184000	adjusted	342965,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00206DC	3	 856,190000	adjusted	342981,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00207DC	3	 860,384000	adjusted	342996,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00208DC	3	 864,583000	adjusted	343013,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00209DC	3	 868,586000	adjusted	343029,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00210DC	3	 872,786000	adjusted	343045,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00211DC	3	 876,784000	adjusted	343061,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00212DC	3	 880,987000	adjusted	343077,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00213DC	3	 884,985000	adjusted	343093,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00214DC	3	 889,185000	adjusted	343109,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00215DC	3	 893,195000	adjusted	343125,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00216DC	3	 897,384000	adjusted	343142,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00217DC	3	 901,379000	adjusted	343158,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00218DC	3	 905,779000	adjusted	343175,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00219DC	3	 909,580000	adjusted	343190,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00220DC	3	 913,779000	adjusted	343206,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00221DC	3	 917,786000	adjusted	343223,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00222DC	3	 921,979000	adjusted	343238,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00223DC	3	 925,986000	adjusted	343255,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00224DC	3	 930,194000	adjusted	343271,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00225DC	3	 934,195000	adjusted	343287,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00226DC	3	 938,379000	adjusted	343303,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00227DC	3	 942,385000	adjusted	343319,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00228DC	3	 946,584000	adjusted	343335,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00229DC	3	 950,581000	adjusted	343351,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00230DC	3	 954,781000	adjusted	343367,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00231DC	3	 958,981000	adjusted	343382,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00232DC	3	 962,981000	adjusted	343398,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00233DC	3	 967,186000	adjusted	343415,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00234DC	3	 971,186000	adjusted	343430,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00235DC	3	 975,380000	adjusted	343447,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00236DC	3	 979,385000	adjusted	343462,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00237DC	3	 983,580000	adjusted	343478,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00238DC	3	 987,581000	adjusted	343494,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00239DC	3	 991,781000	adjusted	343510,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00240DC	3	 995,782000	adjusted	343526,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00241DC	3	 999,981000	adjusted	343542,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00242DC	3	 1003,985000	adjusted	343558,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00243DC	3	 1008,194000	adjusted	343574,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00244DC	3	 1012,195000	adjusted	343590,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00245DC	3	 1016,387000	adjusted	343606,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00246DC	3	 1020,385000	adjusted	343622,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00247DC	3	 1024,587000	adjusted	343638,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00248DC	3	 1028,581000	adjusted	343655,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00249DC	3	 1032,782000	adjusted	343671,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00250DC	3	 1036,787000	adjusted	343687,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00251DC	3	 1040,987000	adjusted	343703,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00252DC	3	 1044,983000	adjusted	343719,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00253DC	3	 1049,191000	adjusted	343731,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00256DC	3	 1061,587000	adjusted	343714,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00257DC	3	 1065,587000	adjusted	343702,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00258DC	3	 1069,788000	adjusted	343688,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00259DC	3	 1073,789000	adjusted	343673,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00260DC	3	 1077,986000	adjusted	343658,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00261DC	3	 1081,987000	adjusted	343642,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00262DC	3	 1086,198000	adjusted	343627,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00263DC	3	 1090,199000	adjusted	343611,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00264DC	3	 1094,387000	adjusted	343595,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00265DC	3	 1098,387000	adjusted	343580,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00266DC	3	 1102,588000	adjusted	343564,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00267DC	3	 1106,587000	adjusted	343549,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00268DC	3	 1110,787000	adjusted	343533,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00269DC	3	 1114,788000	adjusted	343517,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00270DC	3	 1118,988000	adjusted	343502,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00271DC	3	 1122,988000	adjusted	343486,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00272DC	3	 1127,197000	adjusted	343471,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00273DC	3	 1131,196000	adjusted	343455,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00274DC	3	 1135,388000	adjusted	343439,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00275DC	3	 1139,387000	adjusted	343423,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00276DC	3	 1143,587000	adjusted	343407,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00277DC	3	 1147,587000	adjusted	343391,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00278DC	3	 1151,788000	adjusted	343375,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00279DC	3	 1155,987000	adjusted	343359,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00280DC	3	 1159,987000	adjusted	343342,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00281DC	3	 1164,199000	adjusted	343327,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00282DC	3	 1168,200000	adjusted	343311,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00283DC	3	 1172,387000	adjusted	343294,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00284DC	3	 1176,386000	adjusted	343279,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00285DC	3	 1180,587000	adjusted	343263,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00286DC	3	 1184,586000	adjusted	343246,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00287DC	3	 1188,788000	adjusted	343230,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00288DC	3	 1192,788000	adjusted	343213,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00289DC	3	 1196,988000	adjusted	343197,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00290DC	3	 1200,991000	adjusted	343180,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
