ima_id	cube_start	vX0	vY0	vZ0	vo	vp	vk
K00149DC	 777.1690 	 0.000000000 	 0.025205041 	 0.078215643 	 -0.033606721 	 0.066013203 	 0.000000000
K00150DC	 782.1720 	 0.000000000 	 0.027583450 	 0.000000000 	 -0.128922646 	 -0.041974815 	 0.000000000
K00151DC	 787.1730 	 0.000199960 	 -0.168966207 	 -0.076184763 	 0.063387323 	 -0.057988402 	 0.000000000
K00152DC	 792.1720 	 0.000000000 	 0.034206841 	 -0.030806161 	 -0.028405681 	 0.000000000 	 0.000000000
K00153DC	 797.1700 	 0.000000000 	 0.034813926 	 0.109443778 	 -0.003201281 	 0.018007203 	 0.000000000
K00154DC	 802.1730 	 0.000000000 	 0.036777933 	 -0.019188487 	 0.027783330 	 0.035978413 	 0.000000000
K00155DC	 807.1760 	 0.000000000 	 0.034579252 	 0.090745553 	 0.083949630 	 -0.081950830 	 0.000000000
K00156DC	 812.1700 	 0.000000000 	 0.033239888 	 -0.143171806 	 -0.027633160 	 0.002002403 	 0.000000000
K00157DC	 817.1730 	 0.000199880 	 -0.166500100 	 0.133919648 	 -0.096941835 	 0.089946032 	 0.000000000
K00158DC	 822.1730 	 0.000000000 	 0.033600000 	 -0.053200000 	 0.027200000 	 -0.014000000 	 0.000000000
K00159DC	 827.1730 	 0.000000000 	 0.035200000 	 0.051200000 	 -0.009600000 	 0.004000000 	 0.000000000
K00160DC	 832.1670 	 0.000000000 	 0.035642771 	 -0.092110533 	 0.017020425 	 -0.032038446 	 0.000000000
K00161DC	 837.1730 	 0.000000000 	 0.033959249 	 0.049141031 	 0.053735517 	 -0.055932881 	 0.000000000
K00162DC	 842.1720 	 0.000200040 	 -0.166233247 	 -0.036207241 	 -0.095819164 	 0.064012803 	 0.000000000
K00163DC	 847.1760 	 0.000000000 	 0.032773781 	 0.015587530 	 0.037370104 	 -0.055955236 	 0.000000000
K00164DC	 852.1730 	 0.000000000 	 0.032819692 	 -0.010406244 	 -0.032419452 	 0.096057635 	 0.000000000
K00165DC	 857.1730 	 0.000000000 	 0.024800000 	 -0.056400000 	 0.091800000 	 0.026000000 	 0.000000000
K00166DC	 862.1730 	 0.000000000 	 -0.002200000 	 0.087000000 	 -0.128800000 	 -0.036000000 	 0.000000000
K00167DC	 867.1690 	 0.000000000 	 -0.009807846 	 -0.093674940 	 0.055444355 	 -0.034027222 	 0.000000000
