ima_id	band	rel_a	rel_b	sd_rela	sd_relb	sd_dn	sunzen	sunaz
rad 1 0
K00185DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00186DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00187DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00188DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00189DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00190DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00191DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00192DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00193DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00194DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00195DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00196DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00197DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00198DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00199DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00200DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00201DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00202DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00203DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00204DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00205DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00206DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00207DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00208DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00209DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00210DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00211DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00212DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00213DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00214DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00215DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00216DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00217DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00218DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00219DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00220DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00221DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00222DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00223DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00224DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00225DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00226DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00227DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00228DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00229DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00230DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00231DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00232DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00233DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00234DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00235DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00236DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00237DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00238DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00239DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00240DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00241DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00242DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00243DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00244DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00245DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00246DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00247DC	1	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00097DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00098DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00099DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00100DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00102DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00103DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00104DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00105DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00106DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00107DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00108DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00109DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00110DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00111DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00112DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00113DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00114DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00115DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00116DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00117DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00118DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00119DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00120DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00121DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00122DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00123DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00124DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00125DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00126DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00127DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00128DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00129DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00130DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00131DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00132DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
