ima_id	band	rel_a	rel_b	sd_rela	sd_relb	sd_dn	sunzen	sunaz
rad 1 0
K00312DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00313DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00314DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00315DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00316DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00317DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00318DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00319DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00320DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00321DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00322DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00324DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00325DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00326DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00327DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00328DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00329DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00330DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00331DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00332DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00333DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00334DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00335DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00336DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00337DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00338DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00339DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00340DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00341DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00342DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00344DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00345DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00346DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00348DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00349DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00350DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00351DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00352DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00353DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00354DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00355DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00356DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00357DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00358DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00359DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00360DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00361DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00362DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00363DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00364DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00365DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00366DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00367DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00368DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00369DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00370DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00371DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00372DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00373DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00374DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00375DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00377DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00378DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00379DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00380DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00381DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00383DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00384DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00385DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00386DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00387DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00388DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00389DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00390DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00391DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00393DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00394DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00395DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00396DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00397DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00398DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00399DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00400DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00401DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00402DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00403DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00404DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00405DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00406DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
